onset	duration	trial_type	value	sample
10.161	0.0	Auditory/CC	43	10161
12.031	0.0	Auditory/AA	44	12031
14.041	0.0	Auditory/VV	46	14041
15.971	0.0	Auditory/DC	42	15971
17.89	0.0	Auditory/AV	45	17890
19.79	0.0	Auditory/AV	45	19790
21.821	0.0	Auditory/VV	46	21821
24.01	0.0	Auditory/AV	45	24010
25.95	0.0	Auditory/DD	41	25950
27.98	0.0	Auditory/DC	42	27980
29.92	0.0	Auditory/DD	41	29920
31.85	0.0	Auditory/AA	44	31850
34.031	0.0	Auditory/DC	42	34031
36.211	0.0	Auditory/DC	42	36211
38.251	0.0	Auditory/VV	46	38251
40.131	0.0	Auditory/AA	44	40131
42.219	0.0	Auditory/AV	45	42219
44.12	0.0	Auditory/AV	45	44120
45.98	0.0	Auditory/DC	42	45980
47.951	0.0	Auditory/AA	44	47951
49.821	0.0	Auditory/VV	46	49821
51.73	0.0	Auditory/VV	46	51730
53.959	0.0	Auditory/AV	45	53959
55.87	0.0	Auditory/DC	42	55870
57.989	0.0	Auditory/DD	41	57989
59.99	0.0	Auditory/VV	46	59990
62.18	0.0	Auditory/AA	44	62180
64.329	0.0	Auditory/CC	43	64329
66.36	0.0	Auditory/DC	42	66360
68.299	0.0	Auditory/CC	43	68299
70.38	0.0	Auditory/VV	46	70380
72.36	0.0	Auditory/VV	46	72360
74.59	0.0	Auditory/AA	44	74590
76.758	0.0	Auditory/DD	41	76758
79.0	0.0	Auditory/AA	44	79000
80.959	0.0	Auditory/CC	43	80959
82.829	0.0	Auditory/CC	43	82829
84.979	0.0	Auditory/DC	42	84979
87.188	0.0	Auditory/CC	43	87188
89.16	0.0	Auditory/DC	42	89160
91.258	0.0	Auditory/CC	43	91258
93.328	0.0	Auditory/CC	43	93328
95.198	0.0	Auditory/AV	45	95198
97.369	0.0	Auditory/DC	42	97369
99.299	0.0	Auditory/DC	42	99299
101.278	0.0	Auditory/DD	41	101278
103.218	0.0	Auditory/DD	41	103218
105.368	0.0	Auditory/CC	43	105368
107.558	0.0	Auditory/DD	41	107558
109.687	0.0	Auditory/AV	45	109687
111.648	0.0	Auditory/DC	42	111648
113.798	0.0	Auditory/AV	45	113798
115.668	0.0	Auditory/AV	45	115668
117.598	0.0	Auditory/AA	44	117598
119.658	0.0	Auditory/DD	41	119658
121.807	0.0	Auditory/CC	43	121807
123.977	0.0	Auditory/AV	45	123977
125.958	0.0	Auditory/VV	46	125958
127.989	0.0	Auditory/DC	42	127989
130.199	0.0	Auditory/AA	44	130199
132.109	0.0	Auditory/VV	46	132109
134.018	0.0	Auditory/AA	44	134018
136.217	0.0	Auditory/DD	41	136217
138.198	0.0	Auditory/DC	42	138198
140.378	0.0	Auditory/DC	42	140378
142.308	0.0	Auditory/AA	44	142308
144.508	0.0	Auditory/VV	46	144508
146.727	0.0	Auditory/DD	41	146727
148.778	0.0	Auditory/AA	44	148778
150.677	0.0	Auditory/AV	45	150677
152.838	0.0	Auditory/VV	46	152838
154.838	0.0	Auditory/DC	42	154838
156.926	0.0	Auditory/CC	43	156926
158.818	0.0	Auditory/AA	44	158818
160.867	0.0	Auditory/DD	41	160867
162.936	0.0	Auditory/AV	45	162936
165.067	0.0	Auditory/DD	41	165067
166.936	0.0	Auditory/DD	41	166936
169.167	0.0	Auditory/DC	42	169167
171.246	0.0	Auditory/CC	43	171246
173.237	0.0	Auditory/AV	45	173237
175.447	0.0	Auditory/AV	45	175447
177.587	0.0	Auditory/VV	46	177587
179.546	0.0	Auditory/CC	43	179546
181.397	0.0	Auditory/AA	44	181397
183.517	0.0	Auditory/DC	42	183517
185.566	0.0	Auditory/AV	45	185566
187.416	0.0	Auditory/CC	43	187416
189.426	0.0	Auditory/AV	45	189426
191.436	0.0	Auditory/VV	46	191436
193.606	0.0	Auditory/CC	43	193606
195.676	0.0	Auditory/AV	45	195676
197.547	0.0	Auditory/DC	42	197547
199.676	0.0	Auditory/AA	44	199676
201.706	0.0	Auditory/DD	41	201706
203.866	0.0	Auditory/AV	45	203866
205.777	0.0	Auditory/AA	44	205777
208.005	0.0	Auditory/DD	41	208005
210.145	0.0	Auditory/DD	41	210145
212.095	0.0	Auditory/AV	45	212095
214.317	0.0	Auditory/AA	44	214317
216.446	0.0	Auditory/CC	43	216446
218.406	0.0	Auditory/VV	46	218406
220.466	0.0	Auditory/VV	46	220466
222.566	0.0	Auditory/AA	44	222566
224.736	0.0	Auditory/VV	46	224736
226.885	0.0	Auditory/AV	45	226885
229.105	0.0	Auditory/AV	45	229105
231.286	0.0	Auditory/VV	46	231286
233.156	0.0	Auditory/AA	44	233156
235.035	0.0	Auditory/DD	41	235035
237.095	0.0	Auditory/AA	44	237095
238.985	0.0	Auditory/CC	43	238985
241.015	0.0	Auditory/DC	42	241015
243.026	0.0	Auditory/AA	44	243026
244.996	0.0	Auditory/VV	46	244996
247.085	0.0	Auditory/VV	46	247085
249.254	0.0	Auditory/DD	41	249254
251.434	0.0	Auditory/CC	43	251434
253.624	0.0	Auditory/DD	41	253624
255.475	0.0	Auditory/VV	46	255475
257.365	0.0	Auditory/DC	42	257365
259.236	0.0	Auditory/AA	44	259236
261.195	0.0	Auditory/AA	44	261195
263.324	0.0	Auditory/DD	41	263324
265.454	0.0	Auditory/AV	45	265454
267.544	0.0	Auditory/CC	43	267544
269.474	0.0	Auditory/DD	41	269474
271.394	0.0	Auditory/CC	43	271394
273.255	0.0	Auditory/VV	46	273255
275.385	0.0	Auditory/DC	42	275385
277.505	0.0	Auditory/AA	44	277505
279.364	0.0	Auditory/CC	43	279364
281.254	0.0	Auditory/DD	41	281254
283.394	0.0	Auditory/VV	46	283394
285.513	0.0	Auditory/DD	41	285513
287.503	0.0	Auditory/CC	43	287503
289.544	0.0	Auditory/DC	42	289544
291.455	0.0	Auditory/VV	46	291455
293.343	0.0	Auditory/DD	41	293343
295.394	0.0	Auditory/VV	46	295394
297.423	0.0	Auditory/AV	45	297423
299.263	0.0	Auditory/DD	41	299263
301.453	0.0	Auditory/CC	43	301453
303.673	0.0	Auditory/CC	43	303673
305.534	0.0	Auditory/DC	42	305534
307.424	0.0	Auditory/AA	44	307424
309.303	0.0	Auditory/CC	43	309303
311.204	0.0	Auditory/DC	42	311204
313.153	0.0	Auditory/AV	45	313153
